date,location,brand,name,SKU,price,discount,PWD
2025-10-22 13:32:00,Disco,DOWNY,Suavizante Concentrado Brisa Intenso 500 Ml Downy,14130206004,$7.635,N/A,N/A
2025-10-22 13:32:10,Disco,DOWNY,Suavizante Concentrado Brisa De Verano Recarga 400 Ml Downy,14130135001,$5.790,N/A,N/A
2025-10-22 13:32:23,Disco,DOWNY,Suavizante Para La Ropa Adoravel 900 Ml Downy,14130115020,$12.970,N/A,N/A
2025-10-22 13:32:33,Disco,DOWNY,Suavizante Para La Ropa Mistico 900 Ml Downy,14130115021,$12.970,N/A,N/A
2025-10-22 13:32:45,Disco,DOWNY,Suavizante Para La Ropa Brisa Suave 1 L Downy,14130115022,$12.970,N/A,N/A
2025-10-22 13:32:56,Disco,DOWNY,Suavizante Concentrado Brisa De Verano 500 Ml Downy,14130135004,$7.635,N/A,N/A
2025-10-22 13:33:06,Disco,DOWNY,Suavizante Para La Ropa Mistico 450 Ml Downy,14130115018,$7.635,N/A,N/A
2025-10-22 13:33:18,Disco,DOWNY,Suavizante Para La Ropa Brisa Suave 500 Ml Downy,14130115019,$7.635,N/A,N/A
2025-10-22 13:33:30,Disco,DOWNY,Suavizante Para La Ropa Adoravel 450 Ml Downy,14130115017,$7.635,N/A,N/A
2025-10-22 13:33:40,Disco,DOWNY,Suavizante Downy Unstopables Fresh 141g,14130115016,$18.205,N/A,N/A
2025-10-22 13:34:04,Jumbo,DOWNY,Suavizante Concentrado Brisa Intenso 500 Ml Downy,14130206004,$7.635,N/A,N/A
2025-10-22 13:34:14,Jumbo,DOWNY,Suavizante Concentrado Brisa Intenso Downy,14130206011,$6.100,N/A,N/A
2025-10-22 13:34:24,Jumbo,DOWNY,Suavizante Concentrado Brisa Intenso 1 L Downy,14130206003,$13.800,N/A,N/A
2025-10-22 13:34:35,Jumbo,DOWNY,Suavizante Concentrado Brisa De Verano Recarga 400 Ml Downy,14130135001,$5.790,N/A,N/A
2025-10-22 13:34:45,Jumbo,DOWNY,Suavizante Concentrado Brisa De Verano 1 L Downy,14130135005,$12.970,N/A,N/A
2025-10-22 13:34:56,Jumbo,DOWNY,Suavizante Para La Ropa Adoravel 900 Ml Downy,14130115020,$12.970,N/A,N/A
2025-10-22 13:35:06,Jumbo,DOWNY,Suavizante Para La Ropa Mistico 900 Ml Downy,14130115021,$12.970,N/A,N/A
2025-10-22 13:35:16,Jumbo,DOWNY,Suavizante Para La Ropa Brisa Suave 1 L Downy,14130115022,$12.970,N/A,N/A
2025-10-22 13:35:27,Jumbo,DOWNY,Suavizante Concentrado Brisa De Verano 500 Ml Downy,14130135004,$7.635,N/A,N/A
2025-10-22 13:35:37,Jumbo,DOWNY,Suavizante Para La Ropa Mistico 450 Ml Downy,14130115018,$7.635,N/A,N/A
2025-10-22 13:35:48,Jumbo,DOWNY,Suavizante Para La Ropa Adoravel 450 Ml Downy,14130115017,$7.635,N/A,N/A
2025-10-22 13:35:59,Jumbo,DOWNY,Suavizante Downy Unstopables April Fresh 141g,14130115014,$18.850,N/A,N/A
2025-10-22 13:36:10,Jumbo,DOWNY,Suavizante Para La Ropa Brisa Suave 500 Ml Downy,14130115019,$7.635,N/A,N/A
2025-10-22 13:36:20,Jumbo,DOWNY,Suavizante Downy Unstopables Fresh 141g,14130115016,$18.205,N/A,N/A
2025-10-22 13:36:30,Jumbo,DOWNY,Suavizante Ropa Downy Lush Perlas 345g,14130115024,$40.750,N/A,N/A
