location,brand,name,SKU,price,weight,PBW,discount,PWD
Jumbo,DOWNY,Suavizante Concentrado Brisa Intenso 500 Ml Downy,14130206004,$6.990,-30%,$4.893
Jumbo,DOWNY,Suavizante Concentrado Brisa Intenso 1 L Downy,14130206003,$12.750,N/A,N/A
Jumbo,DOWNY,Suavizante Concentrado Brisa De Verano Recarga 400 Ml Downy,14130135001,$4.415,N/A,N/A
Jumbo,DOWNY,Suavizante Para La Ropa Adoravel 900 Ml Downy,14130115020,$12.065,N/A,N/A
Jumbo,DOWNY,Suavizante Para La Ropa Mistico 900 Ml Downy,14130115021,$6.990,-30%,$12.065
Jumbo,DOVE,Jabón De Tocador Dove Original Multipack X3 90 Gr,13110109038,$5.312,N/A,N/A
Jumbo,SKIP,Jabón Líquido Para Diluir Bio-enzimas 500 Ml Skip,14120909053,$9.545,N/A,N/A
Jumbo,SKIP,Jabón Líquido Skip Bio-enzimas Doypack 3 L,14120909050,$12.365,N/A,N/A
Jumbo,ARIEL,Jabón Líquido Ariel Limpieza Profunda Doypack 3000 Ml,14120918005,"$7.803,25",N/A,N/A
Jumbo,DOVE,Jabón Líquido Para Manos Dove Nutrición Profunda 220 Ml,13110314025,$3.550,N/A,N/A
Jumbo,ARTESANO,Pan Blanco con Masa Madre 500 Grs Artesano,21710197001,"$4.283,5",N/A,N/A
Jumbo,ARTESANO,Pan Integral con Masa Madre 500 Grs Artesano,21730123003,"$4.972,5",N/A,N/A
Jumbo,OROWEAT,Pan con Semillas 600 Grs Oroweat,21730110004,$8.250,N/A,N/A
Jumbo,BIMBO,Pan Blanco 610 Grs Bimbo,21710198001,$6.450,N/A,N/A
Jumbo,OREO,Galletitas Rellenas Con Crema Sabor Original 354 Gr X 3 Un Oreo,11121309066,$5.040,-40%,$3.024
Jumbo,OREO,Galletitas Oreo Mini Rellenas Sabor Original 50 Gr,11121309067,$570,N/A,N/A
Jumbo,OREO,Galletitas Oreo Rellenas Con Crema Sabor Original 118 Gr,11121309064,$1.230,N/A,N/A
Jumbo,OREO,Galletitas Oreo Bañadas En Chocolate Blanco 7 U - 119 Gr,11121188006,$2.850,N/A,N/A
Jumbo,OREO,Galletitas Sin Tacc 95 Gr Oreo,11121309069,$1.440,N/A,N/A
